zipcode,latitude,longitude,room_type,accommodates,bedrooms,price,review_scores_value
1012,52.36614982,4.890281816,Entire home/apt,4,1.0,89,90.0
1053 KR,52.36924782,4.871122633,Entire home/apt,2,1.0,125,90.0
1055,52.38018953,4.854581502,Entire home/apt,4,2.0,130,90.0
1079,52.34218309,4.902777408,Entire home/apt,4,2.0,120,60.0
1055 ZT,52.38353198,4.855511391,Entire home/apt,4,2.0,67,90.0
1086,52.36125772,4.978977679,Entire home/apt,4,2.0,275,80.0
1015,52.38105624,4.885679794,Entire home/apt,2,1.0,76,90.0
1073CH,52.3552446,4.897286799,Entire home/apt,4,2.0,89,90.0
1054,52.36249426,4.87266318,Entire home/apt,2,1.0,85,90.0
1098,52.35687489,4.946206583,Entire home/apt,2,1.0,129,90.0
1016,52.37025973,4.880030195,Private room,4,1.0,85,90.0
1078 GK,52.34733353,4.88943128,Entire home/apt,2,1.0,125,100.0
1012,52.3696163,4.888086949,Entire home/apt,2,1.0,139,90.0
1012 VS,52.36775166,4.889815058,Entire home/apt,2,1.0,139,90.0
1012,52.36786098,4.887054786,Entire home/apt,2,1.0,195,90.0
1015,52.38122515,4.883545849,Entire home/apt,4,1.0,170,100.0
1017 HH,52.36362147,4.892492851,Entire home/apt,3,1.0,130,
1015 JJ,52.38071123,4.886104318,Entire home/apt,2,1.0,200,90.0
1012 KE,52.37014237,4.894398592,Entire home/apt,2,1.0,365,
1091,52.35471197,4.907448704,Entire home/apt,2,1.0,140,
1017HH,52.36286316,4.89312871,Entire home/apt,2,0.0,120,90.0
1098,52.34988724,4.935026784,Private room,2,1.0,74,90.0
1083 GP,52.33167527,4.888567385,Private room,2,1.0,75,
1083 GP,52.3327144,4.888826655,Private room,2,1.0,75,90.0
1013,52.38166034,4.885651442,Entire home/apt,2,1.0,129,100.0
1051 HM,52.38279036,4.868501202,Entire home/apt,2,1.0,120,90.0
1074,52.35585266,4.907284219,Entire home/apt,2,1.0,275,
1015 XS,52.38011714,4.878806977,Entire home/apt,4,1.0,200,100.0
1017,52.36645461,4.895914227,Entire home/apt,2,1.0,185,80.0
1017,52.36645461,4.895914227,Entire home/apt,2,1.0,185,80.0
1062 GR,52.34832594,4.834530146,Private room,2,1.0,55,80.0
1095 ER,52.36089543,4.94636722,Private room,3,1.0,85,90.0
1013 BX,52.38761897,4.891701151,Entire home/apt,3,2.0,145,90.0
1011,52.37402563,4.903188547,Entire home/apt,2,1.0,135,90.0
1015 SV,52.3776764,4.876178649,Entire home/apt,2,1.0,140,90.0
1023 AT,52.39189578,4.946460622,Entire home/apt,4,2.0,99,
1074 XA,52.3535154,4.90319303,Entire home/apt,2,1.0,90,90.0
1013,52.38891827,4.886309184,Entire home/apt,4,2.0,105,90.0
1057,52.36928294,4.853327924,Private room,2,1.0,67,90.0
1057,52.37018233,4.854696051,Private room,2,1.0,57,80.0
1057,52.36967121,4.854431827,Private room,2,1.0,57,90.0
1056,52.37194896,4.863100523,Entire home/apt,6,3.0,175,90.0
1071,52.35265264,4.884013599,Entire home/apt,4,1.0,160,100.0
1053 LZ,52.3679861,4.874469332,Entire home/apt,3,2.0,100,90.0
1017,52.36256017,4.883353361,Entire home/apt,8,1.0,280,90.0
1012 GB,52.36847076,4.892625116,Entire home/apt,5,,135,90.0
1012 GB,52.36903004,4.89348239,Entire home/apt,5,,135,80.0
1012da,52.37361177,4.898569679,Entire home/apt,2,1.0,160,
1013,52.3786461,4.894416994,Entire home/apt,6,3.0,260,90.0
1073,52.35199984,4.898420116,Entire home/apt,2,1.0,107,90.0
1024 BE,52.39890502,4.950883451,Private room,2,1.0,55,
,52.36581533,4.882004392,Entire home/apt,2,1.0,199,
1013 EE,52.37924624,4.890226934,Entire home/apt,8,3.0,300,90.0
1092,52.35605073,4.919385692,Entire home/apt,4,2.0,140,100.0
1054 ZW,52.36266379,4.86103174,Entire home/apt,3,2.0,199,100.0
1093,52.35966774,4.926502619,Entire home/apt,4,1.0,145,100.0
1072,52.35285392,4.890675817,Entire home/apt,2,1.0,67,90.0
1056,52.37194896,4.863100523,Entire home/apt,6,3.0,175,90.0
1018,52.37137385,4.93305021,Entire home/apt,4,2.0,165,100.0
1016,52.36932043,4.882581591,Private room,2,1.0,100,100.0
1055,52.37584455,4.847834073,Entire home/apt,6,2.0,99,
1055SC,52.37773744,4.848911991,Entire home/apt,4,1.0,79,90.0
1053,52.36881804,4.868602042,Entire home/apt,3,1.0,105,90.0
1098 TJ,52.35014382,4.940797823,Entire home/apt,2,1.0,85,100.0
1072 VP,52.35569364,4.886963793,Entire home/apt,7,3.0,199,
1072,52.35460169,4.886294797,Entire home/apt,7,3.0,189,80.0
1072,52.35479546,4.88607129,Entire home/apt,5,2.0,140,80.0
1072 VP,52.35462259,4.886924286,Private room,3,1.0,99,90.0
1072,52.35456773,4.886409527,Shared room,2,1.0,69,80.0
1015 LP,52.37926667,4.880932261,Entire home/apt,2,1.0,100,100.0
1051 GL,52.39635179,4.865418481,Entire home/apt,4,1.0,74,80.0
1013,52.38880471,4.884462142,Entire home/apt,5,2.0,60,90.0
1073,52.35348316,4.900490172,Private room,4,1.0,72,90.0
1073,52.35339267,4.900637643,Entire home/apt,2,1.0,79,90.0
1073,52.35441393,4.900071016,Entire home/apt,2,1.0,79,90.0
1086 ZM,52.35846293,4.98254256,Entire home/apt,4,2.0,160,100.0
1013 NN,52.38905337,4.885588535,Private room,2,1.0,75,90.0
1018,52.37007447,4.919603854,Entire home/apt,4,1.0,110,90.0
1019 HK,52.36983165,4.940509178,Entire home/apt,4,1.0,85,80.0
1052,52.37406744,4.872770688,Private room,3,1.0,48,
1015 JG,52.37972229,4.881589385,Entire home/apt,2,1.0,90,90.0
1011,52.37083689,4.903341145,Private room,2,1.0,70,90.0
1087,52.3541103,5.001478323,Entire home/apt,8,4.0,190,90.0
1073,52.35385915,4.897720521,Entire home/apt,4,2.0,150,90.0
1073,52.351198,4.896674835,Entire home/apt,4,2.0,400,
1068,52.36316533,4.809029364,Entire home/apt,2,1.0,89,90.0
1017 ZJ,52.35700378,4.898811389,Entire home/apt,3,1.0,119,100.0
1057,52.36965708,4.862025427,Private room,2,1.0,60,90.0
1056xb,52.37643838,4.861924704,Entire home/apt,4,2.0,125,100.0
1072 AW,52.3504502,4.8861133,Entire home/apt,2,0.0,100,90.0
1054,52.36793778,4.876497045,Entire home/apt,2,1.0,100,90.0
1013,52.38050992,4.894188598,Entire home/apt,2,1.0,130,90.0
1071 DN,52.35668198,4.885664547,Entire home/apt,4,2.0,99,100.0
1013 KH,52.38528295,4.88368852,Entire home/apt,4,2.0,140,90.0
1017,52.36497519,4.886080252,Entire home/apt,3,1.0,120,90.0
1017,52.36454921,4.884224763,Entire home/apt,2,1.0,150,100.0
1053 DC,52.3697076,4.875863052,Entire home/apt,2,1.0,85,80.0
1071,52.35286356,4.868860681,Entire home/apt,4,2.0,275,100.0
1015,52.37370833,4.877785248,Entire home/apt,2,1.0,129,90.0
1013,52.39178419,4.891576147,Private room,1,1.0,125,
1094,52.36159079,4.935714957,Entire home/apt,4,2.0,85,100.0
1018 NK,52.37175722,4.928786798,Entire home/apt,2,1.0,125,100.0
1012,52.3726137,4.899965145,Entire home/apt,4,1.0,119,90.0
1054,52.36392608,4.876992416,Entire home/apt,5,3.0,250,100.0
1054,52.35817557,4.874105554,Entire home/apt,3,1.0,95,90.0
1016 EZ,52.36916479,4.884445345,Entire home/apt,4,2.0,195,100.0
1016 EZ,52.37088512,4.885055601,Entire home/apt,4,2.0,195,100.0
1051,52.38038213,4.867689548,Entire home/apt,8,2.0,120,90.0
1096,52.34277295,4.918096829,Entire home/apt,4,2.0,99,100.0
1017,52.36740164,4.897890551,Entire home/apt,2,1.0,120,90.0
1017,52.36589633,4.900932228,Entire home/apt,4,1.0,125,90.0
1017,52.36548371,4.899114053,Entire home/apt,4,1.0,150,80.0
1015,52.37717276,4.882036667,Entire home/apt,4,1.0,150,90.0
1013,52.38431135,4.88533481,Entire home/apt,4,1.0,100,80.0
1013,52.38357589,4.884516549,Entire home/apt,4,1.0,100,90.0
1056 XL,52.37721451,4.862147801,Entire home/apt,2,1.0,135,90.0
1019 BX,52.37555668,4.931500068,Entire home/apt,2,1.0,100,70.0
1052 KE,52.37428441,4.874802526,Entire home/apt,2,1.0,100,
1012 TE,52.37528325,4.892628933,Entire home/apt,2,1.0,110,90.0
1017,52.36635145,4.900816355,Entire home/apt,2,0.0,100,90.0
1056,52.37225428,4.864160636,Private room,1,1.0,65,
1017,52.36113001,4.888892325,Private room,2,1.0,70,90.0
1015,52.38055282,4.887058019,Entire home/apt,2,1.0,100,90.0
1094,52.36445272,4.931235931,Entire home/apt,2,1.0,150,80.0
1015,52.37381904,4.878362764,Entire home/apt,4,2.0,300,90.0
1012 NH,52.37624006,4.895680114,Entire home/apt,4,1.0,156,90.0
1018,52.36946156,4.915432349,Entire home/apt,4,1.0,200,90.0
,52.36348131,4.867833978,Entire home/apt,2,1.0,110,90.0
1054,52.35885104,4.862995955,Entire home/apt,6,,89,90.0
1078,52.34654543,4.902214338,Entire home/apt,2,1.0,99,100.0
1072,52.357282,4.88893629,Entire home/apt,2,0.0,55,90.0
,52.36861453,4.905987916,Entire home/apt,3,1.0,127,90.0
1017 KL,52.36171533,4.891615173,Entire home/apt,2,1.0,105,90.0
1017 XL,52.36225384,4.901999344,Entire home/apt,6,3.0,350,90.0
1011 JV,52.37001432,4.898744088,Entire home/apt,4,1.0,103,90.0
1015,52.37626167,4.87818164,Entire home/apt,2,1.0,111,90.0
1015,52.38028303,4.881297531,Entire home/apt,2,1.0,115,90.0
1051 GG,52.38263003,4.871788867,Entire home/apt,2,1.0,80,
1016,52.37212956,4.884019658,Entire home/apt,8,1.0,158,
1015,52.38055282,4.887058019,Entire home/apt,2,1.0,100,90.0
1016,52.37322584,4.883996988,Entire home/apt,8,1.0,210,
,52.37267971,4.900347917,Entire home/apt,7,4.0,263,
1012,52.37232115,4.898786136,Entire home/apt,6,3.0,365,
1073 BG,52.35661237,4.897004767,Entire home/apt,6,1.0,95,80.0
1087,52.35801894,4.996205269,Entire home/apt,5,3.0,157,80.0
1011,52.36901939,4.896738314,Entire home/apt,5,2.0,157,100.0
1012,52.37356026,4.899380826,Entire home/apt,4,2.0,237,
1011,52.37089237,4.903589593,Entire home/apt,4,2.0,120,100.0
,52.37189232,4.897666336,Entire home/apt,4,2.0,320,
1015,52.37889928,4.886881278,Entire home/apt,4,1.0,161,70.0
1011,52.36785984,4.897798896,Entire home/apt,4,1.0,146,
1013,52.37980394,4.894442622,Entire home/apt,4,1.0,188,
1012,52.37381438,4.898703494,Entire home/apt,4,1.0,147,80.0
,52.35799834,4.857537201,Entire home/apt,4,1.0,132,100.0
1015,52.37994036,4.886086148,Entire home/apt,4,1.0,105,
1011 JT,52.37297855,4.901163281,Entire home/apt,4,0.0,136,
1011 JT,52.37301994,4.898952904,Entire home/apt,4,0.0,116,
1011,52.36824748,4.896118598,Entire home/apt,3,1.0,73,100.0
1053,52.3644896,4.861976325,Entire home/apt,2,1.0,158,
1012BN,52.37448213,4.901311606,Entire home/apt,2,1.0,129,
1012,52.37367584,4.893859587,Entire home/apt,2,1.0,153,
1012,52.37460317,4.893474868,Entire home/apt,2,1.0,150,100.0
1073 EG,52.35466596,4.900261625,Private room,2,1.0,45,90.0
1017,52.36179522,4.889102326,Entire home/apt,4,1.0,95,90.0
1012 CK,52.37075133,4.896855835,Entire home/apt,4,2.0,249,90.0
1012 CK,52.36950064,4.89555971,Private room,2,1.0,69,90.0
1012 CK,52.36887078,4.895233891,Private room,2,1.0,69,90.0
1012 CK,52.36837165,4.897517924,Shared room,1,1.0,24,100.0
1016,52.3735842,4.876956974,Entire home/apt,3,1.0,129,90.0
1016,52.37335892,4.876864983,Entire home/apt,3,1.0,129,90.0
1098,52.35540974,4.938756774,Entire home/apt,4,2.0,125,100.0
1017,52.36137567,4.89372078,Entire home/apt,4,2.0,149,100.0
1093 TR,52.36385362,4.924883571,Entire home/apt,3,1.0,95,100.0
1017 VB,52.35973955,4.896444698,Entire home/apt,2,1.0,145,100.0
1079,52.34321986,4.90938729,Private room,2,1.0,93,90.0
1071,52.35935098,4.876721556,Entire home/apt,4,2.0,150,100.0
1072,52.35657232,4.887681824,Private room,2,1.0,70,90.0
1015,52.3789428,4.890601996,Entire home/apt,2,1.0,175,90.0
1015,52.37733835,4.888839337,Entire home/apt,2,1.0,150,80.0
1053,52.37006997,4.870114135,Entire home/apt,2,1.0,105,100.0
